Priority,Complexity Assessment,ASR-L version,Change Type (from KDDI CSL-M),Justification,Field Col #,KDDI Field #,KDDI Field Name,Field Name,Field description,Unit,Data format,Min value,Max value,Sample Value,Source Event,Field(s),ASN1,Aggregation/Formula/Note,Other notes/comments,Use Case
1,0,1.0,"New field, no linkage to data source",Postprocessing SW version not included today.,1,,,asrlVersion,Full version information for the ASR-L Mediation instance from which the ASR-L record originated. The format is MajorSWVersion.MinorSWVersion.DropSWVersion,version,String,-,-,1.7.15,N/A,N/A,N/A,From ASR-L software,,Basic observability
0,1,0.9,"Modified field name from ""CSL Version"" to give it correct name. Reduced to just the sw version and duplex type. Needs to be concatenated in KDDI output encoder and called ""CSL Version""",Enable analytics on a per node version and a per duplex type basis,2,1,CSL Version,neVersion,eNodeB version and duplex type,version,String,-,-,L14A FDD,N/A,N/A,N/A,From Network Topology,,Basic observability
0,1,0.9,"Modified field name from ""CSL Version"" to give it correct name. Reduced to just the sw package version. Needs to be concatenated in KDDI output encoder and called ""CSL Version""",Enable analytics on software package versions,3,1,CSL Version,neSWPkgVersion,eNodeB software package version,version,String,-,-,CXP102051/16_R37AJ,N/A,N/A,N/A,From Network Topology,,Basic observability
0,1,0.9,"Modified field name from ""CSL Version"" to give it correct name. Reduced to just the sw package version. Needs to be concatenated in KDDI output encoder and called ""CSL Version""",Enable analytics on eNB MIM versions,4,1,CSL Version,neMIMVersion,eNodeB MIM (management information model) version.,version,String,-,-,vC.1.125,N/A,N/A,N/A,From Network Topology,,Basic observability
0,0,1.0,"New field, eNB timezone",Enable analytics across timezones,5,,,neTimezone,eNodeB timezone,,String,-,-,US/Eastern,N/A,N/A,N/A,From Network Topology,,Basic observability
1,1,1.0,Filter out for CSL-M,Data integrity flag,6,,,suspectFlag,"Data integrity suspect flag, set to true (1) if a session record is detected to be partial or incomplete. Key reason for incomplete records is stream disconnections at the eNodeB, and subsequently some events are lost by eNodeB before the reconnection occurs.",flag,Boolean,0,1,0,N/A,N/A,N/A,Generated during post processing,,"Basic observability, data integrity"
1,1,1.0,Filter out for CSL-M,"Instrumentation, Dimensioning",7,,,numEvents,The number of cell trace events processed to create this analytic session record,count,Unsigned integer (16 bit),0,65535,12,N/A,N/A,N/A,Generated during post processing,,"Basic observability, instrumentation"
1,1,1.0,Filter out for CSL-M,"Instrumentation, Dimensioning",8,,,numUEMeasurementEvents,The number of periodic UE measurement events processed to create this analytic session record. This is the event named INTERNAL_PER_RADIO_UE_MEASUREMENT,count,Unsigned integer (16 bit),0,65535,12,INTERNAL_PER_RADIO_UE_MEASUREMENT,N/A,N/A,COUNT,,"Basic observability, instrumentation"
1,1,1.0,Filter out for CSL-M,"Instrumentation, Dimensioning",9,,,numUETrafficReports,The number of periodic UE traffic events processed to create this analytic session record. This is the event named INTERNAL_PER_UE_TRAFFIC_REP,count,Unsigned integer (16 bit),0,65535,2,INTERNAL_PER_UE_TRAFFIC_REP,N/A,N/A,COUNT,,"Basic observability, instrumentation"
1,1,1.0,Filter out for CSL-M,"Instrumentation, Dimensioning",10,,,numBearerTrafficReports,The number of periodic per UE per bearer traffic events processed to create this analytic session record. This is the event named INTERNAL_PER_UE_RB_TRAFFIC_REP,count,Unsigned integer (16 bit),0,65535,3,INTERNAL_PER_UE_RB_TRAFFIC_REP,N/A,N/A,COUNT,,"Basic observability, instrumentation"
